,sampling_rate,delta,starttime,endtime,npts,calib,network,station,location,channel,_format,dataquality,number_of_records,encoding,byteorder,record_length,filesize
0,80.0,0.0125,2011-01-02T00:00:00.555060Z,2011-01-03T00:00:03.867560Z,6912266,1.0,MN,WDD,,HHE,MSEED,D,19915,STEIM1,>,512,10196480
0,80.0,0.0125,2011-01-02T00:00:03.705060Z,2011-01-03T00:00:03.417560Z,6911978,1.0,MN,WDD,,HHN,MSEED,D,25647,STEIM1,>,512,13131264
0,80.0,0.0125,2011-01-02T00:00:04.105060Z,2011-01-03T00:00:02.417560Z,6911866,1.0,MN,WDD,,HHZ,MSEED,D,22917,STEIM1,>,512,11733504
0,80.0,0.0125,2011-01-01T00:00:00.110835Z,2011-01-02T00:00:00.448335Z,6912028,1.0,MN,WDD,,HHE,MSEED,D,16785,STEIM1,>,512,8593920
0,80.0,0.0125,2011-01-01T00:00:03.885835Z,2011-01-02T00:00:03.598335Z,6911978,1.0,MN,WDD,,HHN,MSEED,D,16793,STEIM1,>,512,8598016
0,80.0,0.0125,2011-01-01T00:00:02.885835Z,2011-01-02T00:00:03.998335Z,6912090,1.0,MN,WDD,,HHZ,MSEED,D,16797,STEIM1,>,512,8600064
