,index,year,day,date,oTime,pTime,sTime,spTime,distance,quality,type,oTimeUTC,endTime,max_of_dur_cont
31,35,2014,133,2014-05-13,08:10:16.115,08:10:38.900,08:10:55.800,16.9,140.40757,A,L,2014-05-13T08:10:16.115000Z,2014-05-13T08:11:42.214000Z,0 days 00:01:30
32,36,2014,132,2014-05-12,00:54:29.305,00:55:59.151,00:57:5.792,66.641,694.87281,A,R,2014-05-12T00:54:29.305000Z,2014-05-12T01:01:15.154000Z,0 days 00:06:45.849000
33,37,2014,131,2014-05-11,21:50:50.084,21:51:14.150,21:51:32.000,17.85,149.02269,A,L,2014-05-11T21:50:50.084000Z,2014-05-11T21:51:42.931000Z,0 days 00:01:30
34,38,2014,127,2014-05-07,06:20:07.124,06:21:17.456,06:22:9.623,52.167,511.78509,B,R,2014-05-07T06:20:07.124000Z,2014-05-07T06:22:12.668000Z,0 days 00:02:05.544000
35,39,2014,125,2014-05-05,11:40:12.098,11:40:18.300,11:40:22.900,4.6,35.80714,A,L,2014-05-05T11:40:12.098000Z,2014-05-05T11:40:41.797000Z,0 days 00:01:30
36,40,2014,120,2014-04-30,18:08:05.938,18:08:34.000,18:08:54.814,20.814,176.39608,C,R,2014-04-30T18:08:05.938000Z,2014-04-30T18:08:48.937000Z,0 days 00:01:30
37,41,2014,115,2014-04-25,17:20:34.851,17:21:57.000,17:22:57.932,60.932,620.52559,B,R,2014-04-25T17:20:34.851000Z,2014-04-25T17:26:06.850000Z,0 days 00:05:31.999000
38,42,2014,115,2014-04-25,02:56:37.066,02:57:58.708,02:58:59.263,60.556,615.72217,A,R,2014-04-25T02:56:37.066000Z,2014-04-25T03:02:05.357000Z,0 days 00:05:28.291000
39,43,2014,109,2014-04-19,00:12:46.278,00:14:0.183,00:14:55.000,54.817,543.97125,A,R,2014-04-19T00:12:46.278000Z,2014-04-19T00:14:59.094000Z,0 days 00:02:12.816000
40,44,2014,108,2014-04-18,11:57:56.037,11:58:1.700,11:58:5.900,4.2,32.6219,A,L,2014-04-18T11:57:56.037000Z,2014-04-18T11:58:19.240000Z,0 days 00:01:30
41,45,2014,100,2014-04-10,15:46:49.150,15:48:5.999,15:49:3.000,57.001,570.94724,C,R,2014-04-10T15:46:49.150000Z,2014-04-10T15:49:01.151000Z,0 days 00:02:12.001000
42,46,2014,95,2014-04-05,10:24:42.575,10:25:37.879,10:26:18.899,41.02,382.94845,A,R,2014-04-05T10:24:42.575000Z,2014-04-05T10:27:11.696000Z,0 days 00:02:29.121000
43,47,2014,94,2014-04-04,20:08:08.383,20:09:52.877,20:11:10.385,77.508,844.06528,A,R,2014-04-04T20:08:08.383000Z,2014-04-04T20:14:11.297000Z,0 days 00:06:02.914000
44,48,2014,92,2014-04-02,10:27:26.526,10:27:46.000,10:28:0.444,14.444,118.49156,B,R,2014-04-02T10:27:26.526000Z,2014-04-02T10:28:02.928000Z,0 days 00:01:30
45,49,2014,88,2014-03-29,05:45:35.625,05:47:10.000,05:48:20.000,70.0,739.914,B,R,2014-03-29T05:45:35.625000Z,2014-03-29T05:47:55.632000Z,0 days 00:02:20.007000
46,50,2014,82,2014-03-23,18:31:54.916,18:32:30.162,18:32:56.309,26.148,227.54694,B,R,2014-03-23T18:31:54.916000Z,2014-03-23T18:34:36.751000Z,0 days 00:02:41.835000
47,51,2014,79,2014-03-20,18:08:38.548,18:08:50.750,18:08:59.800,9.05,72.16226,B,L,2014-03-20T18:08:38.548000Z,2014-03-20T18:09:12.598000Z,0 days 00:01:30
48,52,2014,77,2014-03-18,10:42:59.839,10:44:28.000,10:45:33.391,65.391,678.35686,A,R,2014-03-18T10:42:59.839000Z,2014-03-18T10:48:00.838000Z,0 days 00:05:00.999000
49,53,2014,69,2014-03-10,23:27:47.623,23:29:6.500,23:30:5.005,58.505,589.76041,B,R,2014-03-10T23:27:47.623000Z,2014-03-10T23:29:49.121000Z,0 days 00:02:01.498000
50,54,2014,67,2014-03-08,20:52:49.731,20:53:24.334,20:53:50.000,25.666,222.82122,A,R,2014-03-08T20:52:49.731000Z,2014-03-08T20:54:28.395000Z,0 days 00:01:38.664000
51,55,2014,64,2014-03-05,12:49:21.059,12:50:37.184,12:51:33.647,56.465,564.28717,B,R,2014-03-05T12:49:21.059000Z,2014-03-05T12:56:20.875000Z,0 days 00:06:59.816000
52,56,2014,60,2014-03-01,05:24:36.024,05:24:42.900,05:24:48.000,5.1,39.80785,A,L,2014-03-01T05:24:36.024000Z,2014-03-01T05:25:04.424000Z,0 days 00:01:30
53,57,2014,57,2014-02-26,01:42:45.296,01:44:33.000,01:45:52.887,79.887,878.06887,C,R,2014-02-26T01:42:45.296000Z,2014-02-26T01:44:39.096000Z,0 days 00:01:53.800000
54,58,2014,48,2014-02-17,12:47:05.727,12:47:15.300,12:47:22.400,7.1,56.02369,A,L,2014-02-17T12:47:05.727000Z,2014-02-17T12:47:32.729000Z,0 days 00:01:30
55,59,2014,46,2014-02-15,07:31:17.192,07:32:34.531,07:33:31.895,57.363,575.4613,A,R,2014-02-15T07:31:17.192000Z,2014-02-15T07:36:06.660000Z,0 days 00:04:49.468000
56,60,2014,45,2014-02-14,03:38:33.137,03:39:51.040,03:40:48.823,57.783,580.70758,B,R,2014-02-14T03:38:33.137000Z,2014-02-14T03:44:37.096000Z,0 days 00:06:03.959000
57,61,2014,43,2014-02-12,10:34:30.941,10:35:49.513,10:36:47.792,58.279,586.92113,A,R,2014-02-12T10:34:30.941000Z,2014-02-12T10:36:00.375000Z,0 days 00:01:30
58,62,2014,40,2014-02-09,08:23:01.177,08:24:17.971,08:25:14.932,56.961,570.44873,A,R,2014-02-09T08:23:01.177000Z,2014-02-09T08:28:34.206000Z,0 days 00:05:33.029000
59,63,2014,40,2014-02-09,04:34:05.872,04:35:22.858,04:36:19.962,57.104,572.22345,A,R,2014-02-09T04:34:05.872000Z,2014-02-09T04:35:26.163000Z,0 days 00:01:30
60,64,2014,39,2014-02-08,17:41:02.145,17:41:54.990,17:42:34.183,39.195,362.86707,A,R,2014-02-08T17:41:02.145000Z,2014-02-08T17:41:57.934000Z,0 days 00:01:30
61,65,2014,39,2014-02-08,02:53:54.359,02:54:20.800,02:54:40.412,19.612,165.20504,A,L,2014-02-08T02:53:54.359000Z,2014-02-08T02:54:44.308000Z,0 days 00:01:30
62,66,2014,38,2014-02-07,03:26:46.211,03:28:3.025,03:29:0.000,56.975,570.62371,B,R,2014-02-07T03:26:46.211000Z,2014-02-07T03:29:06.186000Z,0 days 00:02:19.975000
63,67,2014,38,2014-02-07,01:22:01.470,01:23:30.179,01:24:35.977,65.798,683.71984,,R,2014-02-07T01:22:01.470000Z,2014-02-07T01:24:50.290000Z,0 days 00:02:48.820000
64,68,2014,37,2014-02-06,19:20:59.664,19:22:17.959,19:23:16.032,58.073,584.3369,A,R,2014-02-06T19:20:59.664000Z,2014-02-06T19:25:55.700000Z,0 days 00:04:56.036000
65,69,2014,37,2014-02-06,18:05:46.103,18:07:7.000,18:08:7.003,60.003,608.6901,C,R,2014-02-06T18:05:46.103000Z,2014-02-06T18:07:39.103000Z,0 days 00:01:53
66,70,2014,37,2014-02-06,12:27:13.028,12:28:36.483,12:29:38.387,61.902,632.96631,,R,2014-02-06T12:27:13.028000Z,2014-02-06T12:29:42.545000Z,0 days 00:02:29.517000
67,71,2014,35,2014-02-04,19:42:09.196,19:43:30.317,19:44:30.494,60.172,610.83612,A,R,2014-02-04T19:42:09.196000Z,2014-02-04T19:46:42.875000Z,0 days 00:04:33.679000
68,72,2014,34,2014-02-03,03:59:27.851,03:59:35.300,03:59:40.825,5.525,43.2252,A,L,2014-02-03T03:59:27.851000Z,2014-02-03T04:00:05.550000Z,0 days 00:01:30
69,73,2014,34,2014-02-03,03:08:42.675,03:10:3.306,03:11:3.113,59.807,606.19788,A,R,2014-02-03T03:08:42.675000Z,2014-02-03T03:13:48.368000Z,0 days 00:05:05.693000
70,74,2014,31,2014-01-31,12:45:41.570,12:47:1.875,12:48:1.439,59.564,603.12281,A,R,2014-01-31T12:45:41.570000Z,2014-01-31T12:50:46.694000Z,0 days 00:05:05.124000
71,75,2014,28,2014-01-28,22:22:39.497,22:23:59.064,22:24:58.081,59.017,596.20887,A,R,2014-01-28T22:22:39.497000Z,2014-01-28T22:31:15.435000Z,0 days 00:08:35.938000
72,76,2014,28,2014-01-28,08:07:11.296,08:08:30.018,08:09:28.408,58.39,588.3151,B,R,2014-01-28T08:07:11.296000Z,2014-01-28T08:09:11.277000Z,0 days 00:01:59.981000
73,77,2014,27,2014-01-27,09:47:39.332,09:48:56.288,09:49:53.372,57.082,571.95593,A,R,2014-01-27T09:47:39.332000Z,2014-01-27T09:50:02.042000Z,0 days 00:02:22.710000
74,78,2014,26,2014-01-26,21:15:36.042,21:16:53.001,21:17:50.088,57.086,572.00458,,R,2014-01-26T21:15:36.042000Z,2014-01-26T21:20:56.042000Z,0 days 00:05:20
75,79,2014,26,2014-01-26,19:12:04.866,19:13:23.940,19:14:22.591,58.651,591.59695,,R,2014-01-26T19:12:04.866000Z,2014-01-26T19:13:27.981000Z,0 days 00:01:30
76,80,2014,26,2014-01-26,18:45:05.390,18:46:25.315,18:47:24.593,59.281,599.54572,,R,2014-01-26T18:45:05.390000Z,2014-01-26T18:51:01.640000Z,0 days 00:05:56.250000
77,81,2014,26,2014-01-26,14:24:03.831,14:25:23.428,14:26:22.467,59.039,596.48645,B,R,2014-01-26T14:24:03.831000Z,2014-01-26T14:25:31.203000Z,0 days 00:01:30
78,82,2014,26,2014-01-26,14:08:39.667,14:09:58.525,14:10:57.016,58.491,589.5844,,R,2014-01-26T14:08:39.667000Z,2014-01-26T14:10:05.442000Z,0 days 00:01:30
79,83,2014,26,2014-01-26,13:55:40.914,13:57:0.826,13:58:0.101,59.273,599.44702,A,R,2014-01-26T13:55:40.914000Z,2014-01-26T14:09:38.087000Z,0 days 00:13:57.173000
80,84,2014,17,2014-01-17,02:46:40.925,02:46:43.265,02:46:45.000,1.735,13.29376,A,L,2014-01-17T02:46:40.925000Z,2014-01-17T02:46:59.660000Z,0 days 00:01:30
81,85,2014,16,2014-01-16,19:13:13.585,19:13:15.855,19:13:17.538,1.683,12.8916,A,L,2014-01-16T19:13:13.585000Z,2014-01-16T19:13:30.629000Z,0 days 00:01:30
82,86,2014,14,2014-01-14,03:43:37.217,03:44:23.743,03:44:58.252,34.509,312.5923,B,R,2014-01-14T03:43:37.217000Z,2014-01-14T03:47:39.472000Z,0 days 00:04:02.255000
83,87,2014,11,2014-01-11,04:12:58.070,04:14:21.601,04:15:23.557,61.957,633.66986,A,R,2014-01-11T04:12:58.070000Z,2014-01-11T04:20:10.469000Z,0 days 00:07:12.399000
84,88,2013,359,2013-12-25,13:03:27.103,13:03:46.565,13:04:1.000,14.435,118.4122,A,L,2013-12-25T13:03:27.103000Z,2013-12-25T13:04:40.537000Z,0 days 00:01:30
85,89,2013,357,2013-12-23,04:20:37.887,04:21:20.477,04:21:52.067,31.59,282.22298,A,R,2013-12-23T04:20:37.887000Z,2013-12-23T04:21:43.109000Z,0 days 00:01:30
86,90,2013,349,2013-12-15,03:57:33.570,03:57:52.812,03:58:7.084,14.272,116.98004,B,R,2013-12-15T03:57:33.570000Z,2013-12-15T03:58:35.757000Z,0 days 00:01:30
87,91,2013,345,2013-12-11,13:00:58.438,13:02:37.177,13:03:50.414,73.237,784.22884,B,R,2013-12-11T13:00:58.438000Z,2013-12-11T13:02:35.184000Z,0 days 00:01:36.746000
88,92,2013,344,2013-12-10,15:24:35.405,15:25:53.559,15:26:51.526,57.969,583.03046,A,R,2013-12-10T15:24:35.405000Z,2013-12-10T15:30:15.846000Z,0 days 00:05:40.441000
89,93,2013,341,2013-12-07,15:35:06.895,15:35:26.866,15:35:41.679,14.813,121.75151,B,L,2013-12-07T15:35:06.895000Z,2013-12-07T15:36:20.028000Z,0 days 00:01:30
90,94,2013,332,2013-11-28,14:17:55.282,14:18:16.134,14:18:31.600,15.466,127.5489,B,L,2013-11-28T14:17:55.282000Z,2013-11-28T14:19:09.148000Z,0 days 00:01:30
91,95,2013,314,2013-11-10,02:59:30.491,03:00:50.703,03:01:50.198,59.495,602.24926,C,R,2013-11-10T02:59:30.491000Z,2013-11-10T03:02:52.787000Z,0 days 00:03:22.296000
92,96,2013,308,2013-11-04,13:07:19.821,13:07:36.000,13:07:48.000,12.0,97.1928,B,L,2013-11-04T13:07:19.821000Z,2013-11-04T13:08:13.820000Z,0 days 00:01:30
93,97,2013,303,2013-10-30,03:04:53.100,03:05:18.514,03:05:37.364,18.85,158.17431,B,R,2013-10-30T03:04:53.100000Z,2013-10-30T03:05:40.986000Z,0 days 00:01:30
